objectid,cropcatego,island,acrage,longitude,latitude
5798,Flowers / Foliage / Landscape,Big Island,8.98532427,-154.8349075,19.49905411
5799,Flowers / Foliage / Landscape,Big Island,4.23309101,-154.8343147,19.50039678
6182,Papaya,Big Island,16.04279453,-154.8835628,19.53379543
6183,Papaya,Big Island,4.26912807,-154.8851321,19.53224207
6184,Tropical Fruits,Big Island,7.73044272,-154.9093654,19.43571753
6185,Papaya,Big Island,7.08342285,-154.9079189,19.44489405
6186,Papaya,Big Island,7.97280155,-154.9065165,19.44474504
6187,Macadamia Nuts,Big Island,5.39500968,-154.8894317,19.46985327
6188,Flowers / Foliage / Landscape,Big Island,5.49072246,-154.8359464,19.49630653
6189,Tropical Fruits,Big Island,3.12602058,-154.8623186,19.50786095
6420,Flowers / Foliage / Landscape,Big Island,9.7576989,-154.8342201,19.49545874
6421,Flowers / Foliage / Landscape,Big Island,1.5908693,-154.8288941,19.4960744
6422,Papaya,Big Island,47.94882505,-154.8441109,19.49675601
6423,Papaya,Big Island,41.26010736,-154.8469533,19.49760727
6424,Papaya,Big Island,14.10890911,-154.851675,19.50116206
6425,Papaya,Big Island,12.83864345,-154.8490222,19.49518894
6426,Macadamia Nuts,Big Island,3.90882043,-154.8667625,19.5183607
6427,Macadamia Nuts,Big Island,5.07178372,-154.8674954,19.51656455
6428,Macadamia Nuts,Big Island,6.51889854,-154.8513034,19.5229773
6429,Tropical Fruits,Big Island,2.81620064,-154.847561,19.52345864
6430,Macadamia Nuts,Big Island,66.59389662,-154.9730802,19.36678902
6645,Flowers / Foliage / Landscape,Big Island,4.98702597,-154.9605423,19.51277407
6646,Flowers / Foliage / Landscape,Big Island,4.45030471,-154.9592803,19.5121171
6647,Flowers / Foliage / Landscape,Big Island,1.33619764,-154.961671,19.50959045
6648,Flowers / Foliage / Landscape,Big Island,0.80538742,-154.9610736,19.50870067
6649,Flowers / Foliage / Landscape,Big Island,1.42397974,-154.9561413,19.50711755
6650,Flowers / Foliage / Landscape,Big Island,0.67359001,-154.9555731,19.50689742
6651,Flowers / Foliage / Landscape,Big Island,1.63466708,-154.9536863,19.5027351
6652,Flowers / Foliage / Landscape,Big Island,0.80077645,-154.9527302,19.50370637
6653,Flowers / Foliage / Landscape,Big Island,3.28607679,-154.9522866,19.50287401
6654,Flowers / Foliage / Landscape,Big Island,3.86086228,-154.9517199,19.50149446
6927,Flowers / Foliage / Landscape,Big Island,8.12366369,-154.9490076,19.50953176
6928,Flowers / Foliage / Landscape,Big Island,3.01408742,-154.9521561,19.50973671
6929,Flowers / Foliage / Landscape,Big Island,1.22382339,-154.9454713,19.51078177
6930,Flowers / Foliage / Landscape,Big Island,5.37033975,-154.9465778,19.51180909
6931,Flowers / Foliage / Landscape,Big Island,4.4151902,-154.9487718,19.51263406
6932,Tropical Fruits,Big Island,2.74702169,-154.9478903,19.5131229
6933,Flowers / Foliage / Landscape,Big Island,2.10789915,-154.9484392,19.51486365
6934,Flowers / Foliage / Landscape,Big Island,1.12077786,-154.9477304,19.51557412
6935,Flowers / Foliage / Landscape,Big Island,4.61954705,-154.9450722,19.51330956
6936,Flowers / Foliage / Landscape,Big Island,2.08598331,-154.9425261,19.51369087
6937,Flowers / Foliage / Landscape,Big Island,2.75059775,-154.9435479,19.51473198
6938,Flowers / Foliage / Landscape,Big Island,1.12507765,-154.9417184,19.51482666
6939,Flowers / Foliage / Landscape,Big Island,15.30608681,-154.9406886,19.51589142
6940,Flowers / Foliage / Landscape,Big Island,4.36101351,-154.9402888,19.51775404
6941,Flowers / Foliage / Landscape,Big Island,5.52035127,-154.9427025,19.51724867
6942,Flowers / Foliage / Landscape,Big Island,1.13558223,-154.9420719,19.51817304
6943,Flowers / Foliage / Landscape,Big Island,1.97463001,-154.9428384,19.52045333
6944,Flowers / Foliage / Landscape,Big Island,4.91291984,-154.9435458,19.51894238
6945,Flowers / Foliage / Landscape,Big Island,6.69015344,-154.9460074,19.51703824
6946,Flowers / Foliage / Landscape,Big Island,1.64619117,-154.9499302,19.51201495
6947,Flowers / Foliage / Landscape,Big Island,2.3807584,-154.9363712,19.51309082
6948,Flowers / Foliage / Landscape,Big Island,4.90469491,-154.9390683,19.51371593
6949,Flowers / Foliage / Landscape,Big Island,2.45658505,-154.9483839,19.50210087
6950,Flowers / Foliage / Landscape,Big Island,1.26110913,-154.9478194,19.50247634
6951,Flowers / Foliage / Landscape,Big Island,2.18948439,-154.9468337,19.50172981
6952,Flowers / Foliage / Landscape,Big Island,1.40518131,-154.9458771,19.5010169
6953,Flowers / Foliage / Landscape,Big Island,2.85784799,-154.9467659,19.500884
6954,Macadamia Nuts,Big Island,35.30157368,-154.9262023,19.50876526
6955,Flowers / Foliage / Landscape,Big Island,1.04527848,-154.938129,19.51479645
6956,Diversified Crop,Big Island,2.53501487,-154.9393918,19.49604687
6979,Papaya,Big Island,8.46957137,-154.882724,19.53620194
6980,Papaya,Big Island,4.01826057,-154.8833295,19.5273534
6981,Tropical Fruits,Big Island,8.70060537,-154.8547185,19.50290865
6982,Tropical Fruits,Big Island,4.06636552,-154.8685989,19.49202359
6983,Tropical Fruits,Big Island,10.11465335,-154.8613951,19.51516593
6984,Flowers / Foliage / Landscape,Big Island,8.23664212,-154.8607832,19.51780563
6985,Flowers / Foliage / Landscape,Big Island,10.65716083,-154.8310624,19.49649455
6986,Flowers / Foliage / Landscape,Big Island,2.18762269,-154.8309337,19.49476064
6987,Flowers / Foliage / Landscape,Big Island,3.50830278,-154.8274971,19.50168166
6988,Flowers / Foliage / Landscape,Big Island,3.23202419,-154.8252372,19.50110346
6989,Tropical Fruits,Big Island,7.67184301,-154.8664667,19.50726753
6990,Tropical Fruits,Big Island,1.76861841,-154.8670428,19.50832617
6991,Tropical Fruits,Big Island,15.60435646,-154.8697126,19.50751079
6992,Tropical Fruits,Big Island,13.82206407,-154.879463,19.46243289
6993,Macadamia Nuts,Big Island,43.74667296,-154.8789256,19.47481585
6994,Macadamia Nuts,Big Island,10.23819166,-154.8901789,19.467488
6995,Papaya,Big Island,176.0353439,-154.882564,19.43734479
6996,Tropical Fruits,Big Island,4.52177228,-154.882238,19.43129917
6997,Macadamia Nuts,Big Island,7.40003204,-154.8807596,19.42863514
6998,Tropical Fruits,Big Island,9.42851726,-154.8868821,19.43530518
6999,Flowers / Foliage / Landscape,Big Island,4.24529001,-154.8930144,19.42939156
7000,Papaya,Big Island,20.35990481,-154.8913744,19.42510476
7001,Papaya,Big Island,6.54032973,-154.8957887,19.42589601
7002,Flowers / Foliage / Landscape,Big Island,1.99834262,-154.9228668,19.42829201
7003,Macadamia Nuts,Big Island,0.86185485,-154.902844,19.44159826
7004,Tropical Fruits,Big Island,0.43694336,-154.9041039,19.44074046
7005,Tropical Fruits,Big Island,13.03087021,-154.9042967,19.43832384
7006,Diversified Crop,Big Island,8.05617118,-154.9027763,19.43744083
7007,Papaya,Big Island,48.7247772,-154.9014074,19.43327036
7008,Tropical Fruits,Big Island,1.93633435,-154.9167478,19.44562706
7009,Flowers / Foliage / Landscape,Big Island,1.72632562,-154.9260301,19.42542186
7010,Tropical Fruits,Big Island,5.24549412,-154.9188041,19.43862065
7011,Tropical Fruits,Big Island,8.92445929,-154.9196934,19.43713993
7012,Tropical Fruits,Big Island,4.89626537,-154.9587593,19.39004424
7013,Tropical Fruits,Big Island,6.75185697,-154.9567293,19.38877047
7014,Tropical Fruits,Big Island,12.9334079,-154.9645803,19.37581529
7015,Tropical Fruits,Big Island,7.32904156,-154.9641102,19.46377026
7016,Tropical Fruits,Big Island,7.42303264,-154.9663125,19.46015127
7017,Tropical Fruits,Big Island,2.51312508,-154.9781118,19.45849353
7018,Tropical Fruits,Big Island,11.19002118,-154.8884687,19.5015714
7019,Macadamia Nuts,Big Island,30.78730166,-154.8912832,19.50547795
7020,Tropical Fruits,Big Island,2.19112982,-154.897128,19.48459926
7021,Tropical Fruits,Big Island,4.85849015,-154.9017657,19.48718363
7022,Tropical Fruits,Big Island,5.61664183,-154.8616144,19.4873817
7023,Tropical Fruits,Big Island,16.9894555,-154.8633157,19.48504014
7024,Tropical Fruits,Big Island,2.28142209,-154.8544992,19.49173678
7025,Tropical Fruits,Big Island,3.32998639,-154.8746812,19.50285424
7026,Tropical Fruits,Big Island,6.67108277,-154.8736086,19.50134316
7027,Diversified Crop,Big Island,2.539716,-154.8818412,19.4674638
7028,Tropical Fruits,Big Island,1.01145464,-154.882225,19.46993332
7029,Flowers / Foliage / Landscape,Big Island,5.80085705,-154.9508396,19.51056507
7030,Flowers / Foliage / Landscape,Big Island,9.03003912,-154.9449262,19.50669941
7031,Flowers / Foliage / Landscape,Big Island,8.62914038,-154.9530087,19.50744
7032,Flowers / Foliage / Landscape,Big Island,2.40585074,-154.9539283,19.50624814
7033,Flowers / Foliage / Landscape,Big Island,4.17748214,-154.9446404,19.51601567
7034,Flowers / Foliage / Landscape,Big Island,13.78702462,-154.9443571,19.51413138
7035,Tropical Fruits,Big Island,5.87570792,-154.9449488,19.49984423
7036,Flowers / Foliage / Landscape,Big Island,2.49456335,-154.9431929,19.50154131
7037,Papaya,Big Island,2.83683308,-154.9421196,19.49992802
7422,Tropical Fruits,Big Island,8.08034162,-154.9390732,19.48841892
7423,Flowers / Foliage / Landscape,Big Island,6.31718049,-154.8348742,19.49752141
7424,Tropical Fruits,Big Island,1.44040111,-154.8279555,19.49824881
7425,Flowers / Foliage / Landscape,Big Island,4.50691153,-154.8307995,19.49803719
7426,Tropical Fruits,Big Island,1.09671785,-154.8252596,19.49593198
7427,Flowers / Foliage / Landscape,Big Island,5.44931245,-154.9452004,19.51183703
7428,Flowers / Foliage / Landscape,Big Island,24.8412868,-154.939828,19.51165763
7429,Flowers / Foliage / Landscape,Big Island,3.17645537,-154.9447487,19.51800999
7430,Flowers / Foliage / Landscape,Big Island,0.99171436,-154.9411895,19.5186921
7431,Flowers / Foliage / Landscape,Big Island,1.59995917,-154.9466263,19.51026171
7432,Flowers / Foliage / Landscape,Big Island,5.67193689,-154.9495511,19.51404065
7433,Diversified Crop,Big Island,9.33311747,-154.9268675,19.50642858
7434,Aquaculture,Big Island,1.86159327,-154.892149,19.48171105
7435,Aquaculture,Big Island,1.48772936,-154.8926002,19.48356961
7436,Flowers / Foliage / Landscape,Big Island,1.84528596,-154.9245313,19.42654322
7437,Flowers / Foliage / Landscape,Big Island,1.30235679,-154.9532216,19.50906439
7677,Flowers / Foliage / Landscape,Big Island,2.83696279,-154.8315754,19.50291861
7678,Flowers / Foliage / Landscape,Big Island,5.22253926,-154.8293342,19.50413334
7679,Flowers / Foliage / Landscape,Big Island,5.07070393,-154.8323927,19.4991745
7789,Tropical Fruits,Big Island,8.67021662,-154.9724822,19.37167538
7790,Tropical Fruits,Big Island,1.84027589,-154.9714163,19.37072801
7791,Tropical Fruits,Big Island,7.41880266,-154.9695827,19.37155619
7792,Papaya,Big Island,0.54273672,-154.9289684,19.39882245
7793,Papaya,Big Island,1.81220074,-154.8941386,19.42462956
7794,Papaya,Big Island,24.64950776,-154.8926327,19.42759789
7795,Papaya,Big Island,243.97037,-154.8509445,19.45787426
7796,Papaya,Big Island,18.48869333,-154.87243,19.47438455
7797,Papaya,Big Island,38.31823213,-154.8806565,19.46541731
7798,Papaya,Big Island,3.92045293,-154.8526218,19.48724039
7799,Papaya,Big Island,50.96021163,-154.8451771,19.48886797
7800,Tropical Fruits,Big Island,2.23777248,-154.8699851,19.47377846
7801,Papaya,Big Island,8.28386945,-154.8945107,19.52558197
7802,Papaya,Big Island,4.59687253,-154.895688,19.52461275
7803,Papaya,Big Island,8.56765696,-154.8603972,19.50701803
7804,Papaya,Big Island,3.93294893,-154.8575189,19.50812914
8479,Banana,Big Island,1.32424958,-154.9362014,19.43059393
8480,Papaya,Big Island,105.6184027,-154.8976633,19.42185188
8481,Papaya,Big Island,35.11719944,-154.8598628,19.45792999
8482,Papaya,Big Island,27.42125563,-154.8594809,19.46381307
8483,Flowers / Foliage / Landscape,Big Island,3.32267092,-154.8531218,19.49617781
8484,Papaya,Big Island,7.5587961,-154.8611915,19.53228649
8485,Papaya,Big Island,17.52071385,-154.8668544,19.53205243
8486,Papaya,Big Island,25.94001879,-154.891549,19.52044551
8489,Papaya,Big Island,6.13382618,-154.8761762,19.52485551
8850,Papaya,Big Island,4.75603825,-154.8592073,19.53103259
8851,Papaya,Big Island,4.08940214,-154.8677058,19.5308617
8852,Papaya,Big Island,9.24732323,-154.8687218,19.52985703
8853,Papaya,Big Island,13.97462633,-154.8697347,19.52865532
8854,Papaya,Big Island,10.10934442,-154.853757,19.51191693
8855,Papaya,Big Island,10.0414299,-154.8514915,19.50329343
8856,Papaya,Big Island,47.60819205,-154.8447223,19.47723685
8857,Papaya,Big Island,12.86616861,-154.8395887,19.47909132
8858,Papaya,Big Island,10.37770172,-154.8885792,19.4359519
8859,Papaya,Big Island,3.8856552,-154.8903165,19.4261393
8860,Papaya,Big Island,17.98813325,-154.8912544,19.43091009
8861,Papaya,Big Island,14.19276956,-154.8973294,19.41658713
8862,Papaya,Big Island,4.4816336,-154.8964883,19.41860574
8863,Papaya,Big Island,5.62613198,-154.9147201,19.41724311
8864,Papaya,Big Island,5.34401592,-154.8595679,19.5049587
8865,Papaya,Big Island,18.33741048,-154.8599286,19.49539648
8866,Papaya,Big Island,28.59183028,-154.855915,19.50345748
8867,Papaya,Big Island,8.3827405,-154.8517464,19.50554694
8870,Papaya,Big Island,18.18727874,-154.8832753,19.52433789
8871,Papaya,Big Island,10.05393943,-154.8848166,19.52666605
8872,Papaya,Big Island,22.4959792,-154.8423471,19.4821016
8873,Papaya,Big Island,9.35593895,-154.9158354,19.41604634
8874,Papaya,Big Island,44.34676032,-154.9132041,19.41923882
8875,Papaya,Big Island,20.7698407,-154.9107475,19.41356217
8876,Papaya,Big Island,14.00891485,-154.9149285,19.42427759
8877,Papaya,Big Island,5.24289563,-154.9041134,19.44355877
8878,Papaya,Big Island,10.76985364,-154.855944,19.49603601
9097,Pasture,Big Island,203.2478282,-154.9907958,19.36404616
9099,Pasture,Big Island,313.1192882,-154.9976479,19.38856378
9100,Pasture,Big Island,20.33647077,-154.9628419,19.39330325
9105,Pasture,Big Island,49.84174092,-154.9801409,19.42120812
9107,Pasture,Big Island,144.0447125,-154.8948088,19.43422958
9109,Pasture,Big Island,37.46275929,-154.9133572,19.44453636
9113,Pasture,Big Island,165.5470662,-154.9749145,19.4545883
9115,Pasture,Big Island,85.46080059,-154.9708701,19.46367541
9120,Pasture,Big Island,24.9846678,-154.897106,19.47491776
9124,Pasture,Big Island,20.64438612,-154.9544811,19.48321584
9129,Pasture,Big Island,308.1512901,-154.9506735,19.48763212